pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P2,median,{'ksize': 3},clahe,"{'clip': 1.5, 'tile': (8, 8)}",guided,"{'radius': 4, 'eps': 0.001}",9.185054780418989,52.203830273946124,30.694442527182556
P2,median,{'ksize': 3},clahe,"{'clip': 1.5, 'tile': (8, 8)}",guided,"{'radius': 6, 'eps': 0.001}",9.185054780418989,52.203830273946124,30.694442527182556
P2,median,{'ksize': 3},clahe,"{'clip': 2.0, 'tile': (8, 8)}",guided,"{'radius': 4, 'eps': 0.001}",9.072869011491655,48.49976666768392,28.786317839587788
P2,median,{'ksize': 3},clahe,"{'clip': 2.0, 'tile': (8, 8)}",guided,"{'radius': 6, 'eps': 0.001}",9.072869011491655,48.49976666768392,28.786317839587788
P2,median,{'ksize': 5},clahe,"{'clip': 1.5, 'tile': (8, 8)}",guided,"{'radius': 4, 'eps': 0.001}",9.082038389636825,49.65815013249715,29.37009426106699
P2,median,{'ksize': 5},clahe,"{'clip': 1.5, 'tile': (8, 8)}",guided,"{'radius': 6, 'eps': 0.001}",9.082038389636825,49.65815013249715,29.37009426106699
P2,median,{'ksize': 5},clahe,"{'clip': 2.0, 'tile': (8, 8)}",guided,"{'radius': 4, 'eps': 0.001}",8.900338623360177,44.87890478769938,26.88962170552978
P2,median,{'ksize': 5},clahe,"{'clip': 2.0, 'tile': (8, 8)}",guided,"{'radius': 6, 'eps': 0.001}",8.900338623360177,44.87890478769938,26.88962170552978
