pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},11.072501480516934,59.844693152109784,35.45859731631336
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},10.60756614652475,55.94950084686279,33.27853349669377
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},10.469311920635601,61.03485059738159,35.7520812590086
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},9.934366914701567,56.67250789006551,33.30343740238354
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},11.370404740294685,57.5020778020223,34.436241271158494
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},10.824256783776557,54.53393532435099,32.67909605406378
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},11.005051085221778,56.67575114568074,33.84040111545126
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},10.414538656958161,53.19863437016805,31.806586513563104
