pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.732945498170228,63.919375546773274,37.32616052247175
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.972817982612177,52.219992065429686,30.59640502402093
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",11.099115735390368,62.843986956278485,36.97155134583443
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.26439140784897,47.969089126586915,28.616740267217942
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.52940515592674,59.30582523345947,34.917615194693106
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.670267170810288,45.84626407623291,27.258265623521602
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",10.55657927323977,58.40150725046794,34.47904326185385
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.35750323069466,42.51848770777384,25.937995469234252
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.361666633230847,65.87970631917318,38.12068647620201
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.597948648236244,53.57940432230632,31.08867648527128
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",10.827117112354651,65.87811552683512,38.35261631959489
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",8.772718802876883,50.4801383972168,29.62642860004684
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.054697215137017,61.62215067545573,35.83842394529637
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.204351277154391,48.117884572347,28.161117924750698
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",10.15014590797751,61.652885055541994,35.90151548175975
P10,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",8.779743452947224,45.51393334070841,27.146838396827818
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",11.118206146882166,63.61874872843425,37.36847743765821
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.134337097831734,52.80519777933757,30.96976743858465
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",11.35864584967819,62.924071820576984,37.14135883512759
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.6209086040803,48.502159372965494,29.061533988522896
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.876642585565442,59.05295696258545,34.964799774075445
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.826957326870241,46.33118120829264,27.579069267581442
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",10.726052368673354,58.45978730519612,34.59291983693474
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.805668776730576,42.9857923189799,26.395730547855237
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.919589325295938,65.18848603566488,38.054037680480405
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.903431892905894,55.473059781392415,32.188245837149154
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",11.188685405356921,66.22907708485921,38.70888124510807
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.072354763013259,52.634369659423825,30.853362211218542
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.58450927327521,61.42580750783284,36.00515839055403
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",8.462650176471909,50.11814441680908,29.290397296640496
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 1}",10.46379437118866,62.25697994232178,36.360387156755216
P10,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.139849163150672,47.644500223795575,28.392174693473123
