pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",13.128198711407695,59.07412214279175,36.10116042709972
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",10.019925414626082,40.21275596618652,25.1163406904063
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 1}",13.448583377570134,60.20094215075175,36.824762764160944
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.282077234461205,37.45972264607747,23.37089994026934
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",13.7205540845347,60.34477456410726,37.03266432432098
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 3}",10.189629747232832,40.7653694152832,25.477499581258016
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.7, 'sigma': 1}",14.113608889719423,61.8500440120697,37.98182645089456
P7,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.374035291384931,38.24291607538859,23.80847568338676
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",12.950182599991592,58.32485087712606,35.63751673855883
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.976197044415544,39.891264247894284,24.933730646154913
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 1}",13.198014729959445,59.16775183677673,36.182883283368085
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.243412190942562,37.16003573735555,23.201723964149057
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",13.556345197456263,59.56368629137675,36.5600157444165
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 3}",10.110658804230038,40.55978148778279,25.335220146006414
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.7, 'sigma': 1}",13.893293610170456,61.036227544148765,37.46476057715961
P7,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.7, 'sigma': 3}",9.321776139165427,37.948778820037845,23.635277479601637
P7,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",12.718383587811585,61.11003777186076,36.914210679836174
P7,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.316094902789466,39.47221689224243,24.394155897515947
P7,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 1}",13.423649001981813,61.734852663675944,37.579250832828876
P7,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.7, 'sigma': 3}",8.720905633913912,37.64280293782552,23.18185428586972
P7,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",13.27568218019333,62.56732142766317,37.92150180392825
