pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P8,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",9.988542036636343,77.13043689727783,43.55948946695709
P8,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",9.988542036636343,77.13043689727783,43.55948946695709
P8,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",10.11299448028141,77.57423617045085,43.84361532536613
P8,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",10.11299448028141,77.57423617045085,43.84361532536613
P8,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",9.945413121435163,76.79108638763428,43.36824975453472
P8,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",9.945413121435163,76.79108638763428,43.36824975453472
P8,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",10.070611616491341,77.51436557769776,43.79248859709455
P8,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",10.070611616491341,77.51436557769776,43.79248859709455
P8,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",9.847011873215363,82.10380223592122,45.975407054568294
P8,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",9.847011873215363,82.10380223592122,45.975407054568294
P8,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",9.983795293354934,82.59810447692871,46.29094988514182
P8,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",9.983795293354934,82.59810447692871,46.29094988514182
P8,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",9.764595966781327,81.14081961313883,45.45270778996008
P8,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",9.764595966781327,81.14081961313883,45.45270778996008
P8,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",9.890125776275761,82.33459962209066,46.112362699183215
P8,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",9.890125776275761,82.33459962209066,46.112362699183215
