pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},13.212360931915978,90.22654972076415,51.71945532634007
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},13.43654268750044,89.8506872177124,51.64361495260642
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},13.157143110645984,90.36439005533855,51.76076658299227
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},13.305088074311264,89.93059692382812,51.617842499069695
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},12.727646329701523,89.67900485992432,51.203325594812924
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},12.943566229565903,89.25725135803222,51.10040879379906
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},12.675566583376423,89.64253622690836,51.15905140514239
P18,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},12.873996485189938,89.2053175608317,51.03965702301082
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},13.869702122556598,90.24579652150472,52.05774932203066
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},14.068710215393315,90.0330800374349,52.050895126414105
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},13.85088083424974,89.57479610443116,51.71283846934045
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},14.003009410975272,89.2397392908732,51.621374350924235
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},13.618583620517374,89.47976150512696,51.549172562822164
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},13.791456123162378,89.176007715861,51.48373191951169
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},13.601908774861407,88.99109961191813,51.296504193389765
P18,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},13.789242929476915,88.46861737569174,51.128930152584324
