pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P9,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},10.132516839889995,83.10976670583089,46.62114177286044
P9,median,{'ksize': 3},percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},10.25655214177239,83.50728225708008,46.88191719942623
P9,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},10.072558696553497,81.81545111338298,45.94400490496824
P9,median,{'ksize': 3},percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},10.17973721575127,82.83408323923747,46.50691022749437
P9,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.5}",l0,{},10.083639246527836,85.85205033620198,47.96784479136491
P9,median,{'ksize': 5},percentile,"{'lo': 0.05, 'hi': 99.9}",l0,{},10.225621868842454,86.13210213979086,48.178862004316656
P9,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.5}",l0,{},9.969785936948657,85.55786126454672,47.763823600747685
P9,median,{'ksize': 5},percentile,"{'lo': 0.1, 'hi': 99.9}",l0,{},10.09171295331802,85.75163300832112,47.92167298081957
