pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",13.066395929069577,89.81612599690756,51.441260962988565
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",13.066395929069577,89.81612599690756,51.441260962988565
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",13.282098181471866,89.81040585835775,51.54625201991481
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",13.282098181471866,89.81040585835775,51.54625201991481
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",12.974786274515367,89.57661533355713,51.27570080403625
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",12.974786274515367,89.57661533355713,51.27570080403625
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",13.170642610608846,88.76900482177734,50.9698237161931
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",13.170642610608846,88.76900482177734,50.9698237161931
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",12.536624999908708,89.7080696105957,51.122347305252205
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",12.536624999908708,89.7080696105957,51.122347305252205
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",12.785774809029176,89.41362113952637,51.099697974277774
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",12.785774809029176,89.41362113952637,51.099697974277774
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",12.463719333144684,89.47903887430827,50.97137910372648
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",12.463719333144684,89.47903887430827,50.97137910372648
