pid,den,dkw,con,ckw,shr,skw,niqe,piqe,score
P3,median,{'ksize': 3},clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},9.317085002407001,52.097052892049156,30.70706894722808
P3,median,{'ksize': 3},clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},9.191457417616204,48.338890584309894,28.76517400096305
P3,median,{'ksize': 5},clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},9.153993363224536,48.95716101328532,29.05557718825493
P3,median,{'ksize': 5},clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},8.976905224040744,44.64676965077718,26.81183743740896
