pipeline,denoise,den_kw,contrast,con_kw,sharpen,shr_kw,niqe,piqe,colorfulness
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.444571751183265,68.14171498616537,78.8705661494319
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.444571751183265,68.14171498616537,78.8705661494319
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.472475377475925,68.30947024027506,78.73859056715264
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.472475377475925,68.30947024027506,78.73859056715264
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.425102362322344,68.20648803710938,78.92849565665837
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.425102362322344,68.20648803710938,78.92849565665837
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.453005988615006,68.37424329121907,78.79652007437909
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.453005988615006,68.37424329121907,78.79652007437909
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.45772576298207,69.70206712086996,78.64917057161134
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.45772576298207,69.70206712086996,78.64917057161134
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.474060675096931,69.3641944249471,78.51835806371666
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.474060675096931,69.3641944249471,78.51835806371666
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.442967284242028,69.93112951914469,78.71139775849153
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.442967284242028,69.93112951914469,78.71139775849153
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.45930219635689,69.59325682322184,78.58058525059684
P17,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.45930219635689,69.59325682322184,78.58058525059684
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.74469199714314,67.95609455108642,78.6378976866842
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.74469199714314,67.95609455108642,78.6378976866842
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.775521902645561,67.83516171773275,78.51212536672715
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.775521902645561,67.83516171773275,78.51212536672715
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.732083744323814,67.91288706461589,78.704712642213
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.732083744323814,67.91288706461589,78.704712642213
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.762913649826238,67.79195423126221,78.57894032225595
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.762913649826238,67.79195423126221,78.57894032225595
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.703246245744777,67.43526566823324,78.33867249264553
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.703246245744777,67.43526566823324,78.33867249264553
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.687675604383735,67.11080265045166,78.2075485243511
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.05, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.687675604383735,67.11080265045166,78.2075485243511
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 4, 'eps': 0.001}",8.691510763041011,67.21198247273763,78.4224764538797
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.5}",guided,"{'radius': 6, 'eps': 0.001}",8.691510763041011,67.21198247273763,78.4224764538797
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 4, 'eps': 0.001}",8.675940121679966,66.88751945495605,78.29135248558528
P17,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",percentile,"{'lo': 0.1, 'hi': 99.9}",guided,"{'radius': 6, 'eps': 0.001}",8.675940121679966,66.88751945495605,78.29135248558528
