pipeline,denoise,den_kw,contrast,con_kw,sharpen,shr_kw,niqe,piqe,colorfulness
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.45558191725578,82.529905128479,77.52585973091611
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.175761550860551,72.29905497233072,78.810473033336
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.397870440733584,69.20066102345784,77.5723262920856
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.061330893845676,64.54277979532877,79.11181484125402
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.483496085619558,82.41079076131184,77.40018400438659
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.183546556153743,72.11526959737142,78.57973594243859
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.43958398723377,69.22768166859944,77.45120433164597
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.070642918367772,64.5039077758789,78.8648896965492
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.384451087519377,82.12022380828857,77.5911467942983
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.178730876607176,72.48741455078125,78.8722967288991
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.333717029037071,69.74021530151367,77.63905533628275
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.061755101936333,64.98472983042399,79.17619831022915
P7,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",10.412365255883154,82.00110944112141,77.46547106776877
