pipeline,denoise,den_kw,contrast,con_kw,sharpen,shr_kw,niqe,piqe,colorfulness
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",11.011967502231835,50.72173531850179,80.51766057327731
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.402926547928416,52.8058661142985,81.9062293169096
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.259000059140188,41.41572984059652,80.5630556193261
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.217856750530817,49.83961499532064,82.23542158156066
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",11.086859430152373,50.88124631245931,80.44391736903268
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.449652755178777,52.79460417429606,81.77803474549691
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.308014711202622,41.41014709472656,80.4901047036472
P23,,{},percentile,"{'lo': 0.05, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.263685269713163,49.8203161239624,82.10185959271045
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 1}",11.019018838353926,50.339593505859376,80.5241647246577
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.424363813764447,52.51432253519694,81.90763876180382
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.263287869293897,41.055703989664714,80.5704958650219
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.5}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.23489275189521,49.59495315551758,82.23587814169416
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 1}",11.093910766274465,50.499104499816895,80.45042152041304
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.3, 'sigma': 3}",9.471090021014808,52.5030605951945,81.77944419039115
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 1}",10.312302521356333,41.050121243794756,80.49754494934301
P23,,{},percentile,"{'lo': 0.1, 'hi': 99.9}",unsharp,"{'alpha': 1.5, 'sigma': 3}",9.280721271077555,49.57565428415934,82.10231615284394
