filename,pipeline,orig_niqe,orig_piqe,orig_colorfulness,fin_niqe,fin_piqe,fin_colorfulness
no_063.tiff,P24,12.240210584797133,76.34452056884766,73.68573819824263,12.240210584797133,76.34452056884766,73.68573819824263
no_064.tiff,P24,11.978360400701726,81.625732421875,87.77720497151033,11.978360400701726,81.625732421875,87.77720497151033
no_065.tiff,P24,10.898005530739203,85.49859619140625,69.69288853597435,10.898005530739203,85.49859619140625,69.69288853597435
no_066.tiff,P24,10.258045446233112,81.40872192382812,86.90817230772039,10.258045446233112,81.40872192382812,86.90817230772039
no_067.tiff,P24,10.53050026438185,83.16266632080078,99.93112529810709,10.53050026438185,83.16266632080078,99.93112529810709
no_068.tiff,P24,11.415593010393621,69.94569396972656,76.46138778711244,11.415593010393621,69.94569396972656,76.46138778711244
no_069.tiff,P24,13.215367882577494,81.35575866699219,84.25720046192916,12.943257827734882,77.726318359375,84.082595962472
no_070.tiff,P24,14.142962744736312,80.09266662597656,58.803106454171825,14.142962744736312,80.09266662597656,58.803106454171825
no_071.tiff,P24,11.82413135252843,77.03082275390625,82.3202711405759,11.82413135252843,77.03082275390625,82.3202711405759
no_072.tiff,P24,14.243604550735625,78.8475570678711,81.01793102590358,14.243604550735625,78.8475570678711,81.01793102590358
no_073.tiff,P24,14.994934003748833,77.50240325927734,72.59958815773508,14.994934003748833,77.50240325927734,72.59958815773508
no_074.tiff,P24,11.73655295382757,71.29795837402344,81.00932528479498,11.73655295382757,71.29795837402344,81.00932528479498
no_075.tiff,P24,14.32102893259215,82.2291259765625,91.65825704395834,13.56407215117146,79.41130065917969,91.56257407069506
no_076.tiff,P24,13.299193275375304,77.16351318359375,79.91185459860623,11.744353059752717,67.1385498046875,81.44252346359093
no_077.tiff,P24,12.384949888677928,76.4993667602539,87.17908359053551,11.743760405367828,72.03209686279297,87.08832245257565
no_078.tiff,P24,11.136674098886003,92.014404296875,91.82469623983323,11.136674098886003,92.014404296875,91.82469623983323
no_079.tiff,P24,11.476735198646772,83.46215057373047,104.52314823589357,11.476735198646772,83.46215057373047,104.52314823589357
no_080.tiff,P24,11.021584734388695,82.83206939697266,93.91993874964331,11.021584734388695,82.83206939697266,93.91993874964331
no_081.tiff,P24,10.92600588722123,82.91641235351562,89.44851496655211,10.92600588722123,82.91641235351562,89.44851496655211
no_082.tiff,P24,10.998721795275424,70.216552734375,79.12086923332537,10.998721795275424,70.216552734375,79.12086923332537
no_083.tiff,P24,11.423521339003978,76.96924591064453,92.53478040734981,11.423521339003978,76.96924591064453,92.53478040734981
no_084.tiff,P24,13.145628322449486,80.51221466064453,103.05502728106043,12.418664836906169,76.3661880493164,102.86304128550692
no_085.tiff,P24,14.884770836486084,84.91607666015625,97.07910402893822,14.02703281349498,82.20044708251953,97.36176916229344
no_086.tiff,P24,15.2713983862879,76.7269058227539,22.968682280370572,15.271774920221523,76.7269058227539,22.968669499135252
no_087.tiff,P24,14.897700676387998,76.51274108886719,27.662437941699388,14.897700676387998,76.51274108886719,27.662437941699388
no_088.tiff,P24,12.791082513742856,75.62320709228516,111.71580381478701,12.791082513742856,75.62320709228516,111.71580381478701
no_089.tiff,P24,14.072558885969034,83.6378402709961,76.42709540948658,14.072558885969034,83.6378402709961,76.42709540948658
no_090.tiff,P24,13.701378993291293,75.68785095214844,40.60459664804224,13.701378993291293,75.68785095214844,40.60459664804224
no_091.tiff,P24,14.796368909955918,81.4969482421875,44.13994075435497,14.796368909955918,81.4969482421875,44.13994075435497
no_092.tiff,P24,14.230280427414245,76.4118881225586,50.36332215007712,14.230280427414245,76.4118881225586,50.36332215007712
no_093.tiff,P24,15.868754825216051,81.45279693603516,35.182484862887655,15.868754825216051,81.45279693603516,35.182484862887655
no_094.tiff,P24,15.132280250019626,80.29319763183594,35.275364347822865,15.132280250019626,80.29319763183594,35.275364347822865
no_095.tiff,P24,15.5870485769841,78.15557861328125,34.288400679744186,15.5870485769841,78.15557861328125,34.288400679744186
no_096.tiff,P24,14.502331037420902,74.73186492919922,33.56010360857411,12.885501946005308,74.78085327148438,35.30620955060205
no_097.tiff,P24,11.838650589485836,77.0027847290039,94.08446909777786,11.838650589485836,77.0027847290039,94.08446909777786
no_098.tiff,P24,15.72271585300237,80.7164306640625,42.88922470611343,15.72271585300237,80.7164306640625,42.88922470611343
no_099.tiff,P24,15.114854801983645,77.92408752441406,91.90336440865315,15.114854801983645,77.92408752441406,91.90336440865315
no_100.tiff,P24,11.42014142704173,71.16607666015625,72.37122549402908,11.42014142704173,71.16607666015625,72.37122549402908
no_101.tiff,P24,15.293763835687123,78.02088165283203,37.801505708300446,15.293763835687123,78.02088165283203,37.801505708300446
no_102.tiff,P24,14.82227954455455,76.64799499511719,21.721338079885175,13.472692178613597,78.42211151123047,22.539026451152587
no_103.tiff,P24,14.704085392291118,79.14506530761719,37.232952835946826,14.704085392291118,79.14506530761719,37.232952835946826
no_104.tiff,P24,14.553811869446735,76.9084243774414,48.65911987999993,14.553811869446735,76.9084243774414,48.65911987999993
no_105.tiff,P24,14.246979062746925,75.7637710571289,73.94579904104569,14.246979062746925,75.7637710571289,73.94579904104569
no_106.tiff,P24,15.598632608847371,78.14791107177734,20.675434801588715,14.863514774266752,80.16950225830078,21.453038333954503
no_107.tiff,P24,14.18771842713284,76.23908996582031,26.473154005490656,13.312288141415792,75.68046569824219,28.606766688629754
no_108.tiff,P24,15.090375984928343,76.67179870605469,27.678630850996377,15.090375984928343,76.67179870605469,27.678630850996377
no_109.tiff,P24,15.287050113400648,78.87112426757812,21.36523009636029,15.138528663950936,80.709228515625,21.679778044231355
no_110.tiff,P24,15.17137949505754,77.19689178466797,21.54899345895017,14.47012371854253,75.78050994873047,23.29509808771172
no_111.tiff,P24,15.702389528292958,75.87913513183594,21.628344390807854,14.660077838784986,77.41683959960938,22.888415610905277
no_112.tiff,P24,16.011461299063907,78.45699310302734,27.680157926703664,16.011461299063907,78.45699310302734,27.680157926703664
no_113.tiff,P24,15.092239942257049,79.5105972290039,22.493725793303245,15.092239942257049,79.5105972290039,22.493725793303245
no_114.tiff,P24,15.57745302372754,78.96155548095703,44.197790771806126,15.57745302372754,78.96155548095703,44.197790771806126
no_115.tiff,P24,15.537711105755127,78.11653900146484,23.8026873836549,15.537711105755127,78.11653900146484,23.8026873836549
