pipeline,denoise,den_kw,contrast,con_kw,sharpen,shr_kw,niqe,piqe,colorfulness
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},7.306007938488351,58.094239234924316,75.01409294346904
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},7.161604046420634,56.15006669362386,74.73702056181136
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},7.2972956578591965,58.208040682474774,74.72602918872859
P12,fast_nlm,"{'h': 10, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},7.1471538204643865,56.479389635721844,74.46234289655233
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},7.687478017625785,56.80543219248454,74.87912727451915
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 21}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},7.527943050165577,54.935699462890625,74.62269385876918
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",l0,{},7.557069826184641,57.47216790517171,74.52841585768319
P12,fast_nlm,"{'h': 15, 'template': 7, 'search': 31}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",l0,{},7.384097932038634,55.68422864278158,74.29093255371231
