pipeline,denoise,den_kw,contrast,con_kw,sharpen,shr_kw,niqe,piqe,colorfulness
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",7.912369010590421,37.201014836629234,80.142180110999
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",7.654426402668949,47.25728054046631,81.26214529253447
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.5, 'sigma': 1}",7.662273827999139,32.52821575800578,80.17995656704414
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.5, 'sigma': 3}",7.641327039493245,45.57912540435791,81.54239483815144
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",7.88577146829062,35.59292691548665,79.88806631939889
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",7.639077698037982,46.58153457641602,81.208444036907
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.5, 'sigma': 1}",7.664685891118888,31.29844357172648,79.92613236570351
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 75}",clahe,"{'clip': 2.0, 'tile': (8, 8)}",unsharp,"{'alpha': 1.5, 'sigma': 3}",7.630642418260649,44.90254866282145,81.51719225745857
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 100}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 1}",7.911753967910243,37.19363527297973,80.1421541239707
P1,bilateral,"{'d': 7, 'sigmaColor': 75, 'sigmaSpace': 100}",clahe,"{'clip': 1.5, 'tile': (8, 8)}",unsharp,"{'alpha': 1.3, 'sigma': 3}",7.653972322295739,47.26022516886393,81.26207389673986
